语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：愁
2023/1/20 16:06:28

序号	语句	书名	朝代
207	样摆脱不了为生命之谜而苦恼的世纪性的烦 [愁] ，然而相比之下，其思致要深刻一些，		《古诗十九首》__魏晋六朝
208	参差定难数，历乱百 [愁] 生。		《梁书》__魏晋六朝
209	 [愁] 多知夜长，仰观众星列。		《古诗十九首》__魏晋六朝
210	 [愁] 多知夜长”一句、看似平		《古诗十九首》__魏晋六朝
211	成寐；一到冬季，“寒”与“ [愁] ”并，更感到长夜难明。		《古诗十九首》__魏晋六朝
212	从“ [愁] 多知夜长”跳到“仰观众星列”，中间略去不少东西。“		《古诗十九首》__魏晋六朝
213	到“寒气”已“至”、“北风惨栗”；“我”因“ [愁] 多”而“知夜长”；“我”		《古诗十九首》__魏晋六朝
214	 [愁] ”		《古诗十九首》__魏晋六朝
215	守宰多倚附权门，互长贪虐，掊克聚敛，侵 [愁] 细民，天下摇动，无所厝其手足。		《梁书》__魏晋六朝
216	一出一入，把游子心中翻腾的 [愁] 情推向顶点，以至再也禁不住“泪下沾裳衣”了！		《古诗十九首》__魏晋六朝
217	她不是王昌龄《闺怨》诗中那位不知 [愁] 的天真的贵族少女。		《古诗十九首》__魏晋六朝
218	白扬多悲风，萧萧 [愁] 杀人。		《古诗十九首》__魏晋六朝
219	更深的体会，而 [愁] 惨也就愈甚了。		《古诗十九首》__魏晋六朝
220	惊呼：白扬多悲风，萧萧 [愁] 杀人！		《古诗十九首》__魏晋六朝
221	重要的，则是宇宙的代谢引起他主观和悟解，而诗人的焦灼又加深了景物的 [愁] 惨		《古诗十九首》__魏晋六朝
222	中牟令杨原 [愁] 恐，欲弃官走。		《三国志》__魏晋六朝
223	思又一年，暗喻女主人公青春易逝，坐 [愁] 红颜老的迟暮之感。		《古诗十九首》__魏晋六朝
224	坐 [愁] 相思了无益。		《古诗十九首》__魏晋六朝
225	吴国男子张充致书于琅邪王君侯侍者：顷日路长， [愁] 霖韬晦，凉暑未平，想无亏摄。		《梁书》__魏晋六朝
226	我今 [愁] 忧，世尊威重，无由得见；愿遣目连，尊者阿难，与我相见。		《刘宋译经》__魏晋六朝
227	时韦提希，被幽闭已， [愁] 忧憔悴，遥向耆☆崛山，为佛作礼，而作是言：如来世尊！		《刘宋译经》__魏晋六朝
228	』我闻是语，便 [愁] 忧，师知其意，便念言：『我会当泥洹，何故令人恼耶？		《刘宋译经》__魏晋六朝
229	得妇者未必有懽心，而失妻者必有忧色，或穷或 [愁] ，皆不得志。		《三国志》__魏晋六朝
230	冲於是以刀穿单衣，如鼠齧者，谬为失意，貌有 [愁] 色。		《三国志》__魏晋六朝
231	推算五都， [愁] 穷四海，并婴罹冤横，拘逼不一。		《梁书》__魏晋六朝
232	南北并定，世将无事，孙叔投戈，绛、灌俎豆，亦在今日，但用离析，无缘会面，为 [愁] 叹耳。		《三国志》__魏晋六朝
233	会稽太守淳于式表逊枉取民人， [愁] 扰所在。		《三国志》__魏晋六朝
234	备曰：“我亦 [愁] 之，当若之何？”		《三国志》__魏晋六朝
235	纵令陛下一身得安，百姓 [愁] 劳，何以用治？		《三国志》__魏晋六朝
236	然非公事，无不相对，一字之书，必共咏读；一句之文，无不研赏，浊酒忘 [愁] ，图籍相慰，吾所以穷而不忧，实赖此耳。		《宋书》__魏晋六朝
237	风流蕙兮水增澜，诉 [愁] 衿兮鉴戚颜。		《宋书》__魏晋六朝
238	 [愁] 盈根而蕰际，戚发条而成端。		《宋书》__魏晋六朝
239	百姓虚竭，嗷然 [愁] 扰， [愁] 扰则不营业，不营业则致穷困，致穷困则不乐生，故口腹急，则奸心动而携叛多也。		《三国志》__魏晋六朝
